GVKEY,LPERMNO,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,aqc,at,capx,ceq,che,csho,dlc,dltt,dv,emp,ppent,sale,sppe,xrd,costat,prcc_f,conml,gsector,sic,state
001119,10065,20023,2020/12/31,2020,INDL,C,D,STD,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,,,,,,108.7310,,,,,,,,,A,17.2900,Adams Diversified Equity Fund Inc,,6726,MD
001161,61241,211,2020/12/31,2020,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,0.0000,8962.0000,294.0000,5837.0000,2290.0000,1211.0000,41.0000,531.0000,0.0000,12.6000,849.0000,9763.0000,0.0000,1983.0000,A,91.7100,Advanced Micro Devices Inc,45,3674,CA
001186,78223,26174,2020/12/31,2020,INDL,C,D,STD,AEM,008474108,AGNICO EAGLE MINES LTD,USD,0.0000,9614.7550,759.3420,5683.2130,406.4630,242.8840,20.8520,1664.6640,190.2550,,7325.4180,3138.1130,0.9360,,A,70.5100,Agnico Eagle Mines Ltd,15,1040,ON
001209,28222,20030,2020/09/30,2020,INDL,C,D,STD,APD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,183.3000,25168.5000,2509.0000,12079.8000,6357.9000,221.0170,548.4000,7765.9000,1103.6000,19.2750,12341.5000,8856.3000,,83.9000,A,297.8600,Air Products and Chemicals Inc.,15,2810,PA
001266,11790,153,2020/09/30,2020,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,0.0000,423.9370,21.7050,216.3410,3.1630,7.4930,9.6570,141.2530,2.4660,0.2510,350.8350,92.5070,,,A,28.6200,Alico Inc,30,0100,FL
001300,10145,22168,2020/12/31,2020,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,261.0000,64586.0000,906.0000,17790.0000,15220.0000,701.6860,6042.0000,16342.0000,2592.0000,,5570.0000,32637.0000,57.0000,,A,212.7000,Honeywell International Inc,20,9997,NC
001327,45911,20058,2020/09/30,2020,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,0.0000,5106.7000,389.4000,4164.2000,974.8000,165.6000,28.2000,150.7000,307.0000,10.0000,1417.4000,3355.7000,0.0000,473.9000,A,145.5000,Skyworks Solutions Inc,45,3674,CA
001410,47730,20068,2020/10/31,2020,INDL,C,D,STD,ABM,000957100,ABM INDUSTRIES INC,USD,0.0000,3776.9000,38.0000,1500.3000,394.2000,66.7480,154.0000,737.2000,49.3000,114.0000,276.8000,5987.6000,,,A,34.7200,ABM Industries Inc,20,7340,NY
001417,51916,20071,2020/06/30,2020,INDL,C,D,STD,VBF,46132L107,INVESCO BOND FUND,USD,,,,,,11.3870,,,,,,,,,A,20.0300,Invesco Bond Fund,,6726,GA
001598,85257,32054,2020/12/31,2020,INDL,C,D,STD,AME,031100100,AMETEK INC,USD,,10357.4830,,5949.3460,1212.8220,230.0650,132.2840,2281.4410,,,693.7630,4540.0290,,,A,120.9400,AMETEK Inc,20,3823,PA
001602,14008,216,2020/12/31,2020,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,0.0000,62948.0000,608.0000,9409.0000,10647.0000,578.0000,244.0000,33201.0000,3755.0000,24.3000,5297.0000,25424.0000,0.0000,4207.0000,A,229.9200,Amgen Inc,35,2836,CA
001632,60871,282,2020/10/31,2020,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,14.1960,21468.6030,165.6920,11997.9450,1055.8600,369.4850,39.9230,5433.5940,886.1550,15.9000,1377.1860,5603.0560,,1050.5190,A,118.5300,Analog Devices Inc.,45,3674,MA
001690,14593,7,2020/09/30,2020,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,1524.0000,323888.0000,7309.0000,65339.0000,90979.0000,16976.7630,15229.0000,107049.0000,14081.0000,147.0000,45336.0000,274515.0000,0.0000,18752.0000,A,115.8100,Apple Inc,45,3663,CA
001704,14702,194,2020/10/31,2020,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,107.0000,22353.0000,422.0000,10578.0000,5738.0000,914.0000,64.0000,5643.0000,787.0000,24.0000,1856.0000,17202.0000,0.0000,2234.0000,A,59.2300,Applied Materials Inc.,45,3559,CA
